[2025-09-21T07:29:12.351+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: sql_to_elastic.saveToElastic manual__2025-09-21T07:29:04.807387+00:00 [queued]>
[2025-09-21T07:29:12.361+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: sql_to_elastic.saveToElastic manual__2025-09-21T07:29:04.807387+00:00 [queued]>
[2025-09-21T07:29:12.361+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-09-21T07:29:12.361+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-09-21T07:29:12.361+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-09-21T07:29:12.373+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): saveToElastic> on 2025-09-21 07:29:04.807387+00:00
[2025-09-21T07:29:12.386+0000] {standard_task_runner.py:52} INFO - Started process 528 to run task
[2025-09-21T07:29:12.391+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'sql_to_elastic', 'saveToElastic', 'manual__2025-09-21T07:29:04.807387+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmpk8ddvtfi', '--error-file', '/tmp/tmp7m01q49b']
[2025-09-21T07:29:12.393+0000] {standard_task_runner.py:80} INFO - Job 8: Subtask saveToElastic
[2025-09-21T07:29:12.481+0000] {task_command.py:371} INFO - Running <TaskInstance: sql_to_elastic.saveToElastic manual__2025-09-21T07:29:04.807387+00:00 [running]> on host 05976e0e19d1
[2025-09-21T07:29:12.594+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=sql_to_elastic
AIRFLOW_CTX_TASK_ID=saveToElastic
AIRFLOW_CTX_EXECUTION_DATE=2025-09-21T07:29:04.807387+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-09-21T07:29:04.807387+00:00
[2025-09-21T07:29:13.466+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.829s]
[2025-09-21T07:29:13.483+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.010s]
[2025-09-21T07:29:13.491+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.007s]
[2025-09-21T07:29:13.497+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.005s]
[2025-09-21T07:29:13.502+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.005s]
[2025-09-21T07:29:13.508+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.006s]
[2025-09-21T07:29:13.513+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.004s]
[2025-09-21T07:29:13.517+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.004s]
[2025-09-21T07:29:13.521+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.003s]
[2025-09-21T07:29:13.524+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.003s]
[2025-09-21T07:29:13.527+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.003s]
[2025-09-21T07:29:13.530+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.002s]
[2025-09-21T07:29:13.532+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.002s]
[2025-09-21T07:29:13.535+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.002s]
