[2025-09-22T01:25:31.832+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: sql_to_elastic.saveToElastic manual__2025-09-22T01:25:22.680437+00:00 [queued]>
[2025-09-22T01:25:31.864+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: sql_to_elastic.saveToElastic manual__2025-09-22T01:25:22.680437+00:00 [queued]>
[2025-09-22T01:25:31.865+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-09-22T01:25:31.865+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-09-22T01:25:31.865+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-09-22T01:25:31.882+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): saveToElastic> on 2025-09-22 01:25:22.680437+00:00
[2025-09-22T01:25:31.897+0000] {standard_task_runner.py:52} INFO - Started process 363 to run task
[2025-09-22T01:25:31.902+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'sql_to_elastic', 'saveToElastic', 'manual__2025-09-22T01:25:22.680437+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/dag.py', '--cfg-path', '/tmp/tmp2_lbix48', '--error-file', '/tmp/tmpj1gzbzxg']
[2025-09-22T01:25:31.905+0000] {standard_task_runner.py:80} INFO - Job 18: Subtask saveToElastic
[2025-09-22T01:25:32.023+0000] {task_command.py:371} INFO - Running <TaskInstance: sql_to_elastic.saveToElastic manual__2025-09-22T01:25:22.680437+00:00 [running]> on host 05976e0e19d1
[2025-09-22T01:25:32.162+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=sql_to_elastic
AIRFLOW_CTX_TASK_ID=saveToElastic
AIRFLOW_CTX_EXECUTION_DATE=2025-09-22T01:25:22.680437+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=manual__2025-09-22T01:25:22.680437+00:00
[2025-09-22T01:25:32.268+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.056s]
[2025-09-22T01:25:32.278+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.009s]
[2025-09-22T01:25:32.286+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.007s]
[2025-09-22T01:25:32.294+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.007s]
[2025-09-22T01:25:32.308+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.013s]
[2025-09-22T01:25:32.320+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.010s]
[2025-09-22T01:25:32.333+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.011s]
[2025-09-22T01:25:32.341+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.006s]
[2025-09-22T01:25:32.345+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.004s]
[2025-09-22T01:25:32.352+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.006s]
[2025-09-22T01:25:32.490+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.039s]
[2025-09-22T01:25:32.506+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.013s]
[2025-09-22T01:25:32.517+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.010s]
[2025-09-22T01:25:32.526+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.007s]
