[2025-09-22T01:33:20.616+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: sql_to_elastic.saveToElastic scheduled__2025-09-20T09:30:00+00:00 [None]>
[2025-09-22T01:33:21.086+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: sql_to_elastic.saveToElastic scheduled__2025-09-20T09:30:00+00:00 [None]>
[2025-09-22T01:33:21.090+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-09-22T01:33:21.102+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-09-22T01:33:21.103+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-09-22T01:59:08.012+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: sql_to_elastic.saveToElastic scheduled__2025-09-20T09:30:00+00:00 [queued]>
[2025-09-22T01:59:08.060+0000] {taskinstance.py:1171} INFO - Dependencies all met for <TaskInstance: sql_to_elastic.saveToElastic scheduled__2025-09-20T09:30:00+00:00 [queued]>
[2025-09-22T01:59:08.060+0000] {taskinstance.py:1368} INFO - 
--------------------------------------------------------------------------------
[2025-09-22T01:59:08.061+0000] {taskinstance.py:1369} INFO - Starting attempt 1 of 1
[2025-09-22T01:59:08.061+0000] {taskinstance.py:1370} INFO - 
--------------------------------------------------------------------------------
[2025-09-22T01:59:08.129+0000] {taskinstance.py:1389} INFO - Executing <Task(PythonOperator): saveToElastic> on 2025-09-20 09:30:00+00:00
[2025-09-22T01:59:08.146+0000] {standard_task_runner.py:52} INFO - Started process 199 to run task
[2025-09-22T01:59:08.159+0000] {standard_task_runner.py:79} INFO - Running: ['***', 'tasks', 'run', 'sql_to_elastic', 'saveToElastic', 'scheduled__2025-09-20T09:30:00+00:00', '--job-id', '53', '--raw', '--subdir', 'DAGS_FOLDER/etl_pg_to_es.py', '--cfg-path', '/tmp/tmplt8cxaq2', '--error-file', '/tmp/tmp6meraml3']
[2025-09-22T01:59:08.165+0000] {standard_task_runner.py:80} INFO - Job 53: Subtask saveToElastic
[2025-09-22T01:59:08.527+0000] {task_command.py:371} INFO - Running <TaskInstance: sql_to_elastic.saveToElastic scheduled__2025-09-20T09:30:00+00:00 [running]> on host 35923338c7a6
[2025-09-22T01:59:08.946+0000] {taskinstance.py:1583} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=***
AIRFLOW_CTX_DAG_ID=sql_to_elastic
AIRFLOW_CTX_TASK_ID=saveToElastic
AIRFLOW_CTX_EXECUTION_DATE=2025-09-20T09:30:00+00:00
AIRFLOW_CTX_TRY_NUMBER=1
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2025-09-20T09:30:00+00:00
[2025-09-22T01:59:09.678+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.468s]
[2025-09-22T01:59:09.699+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.016s]
[2025-09-22T01:59:09.721+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.020s]
[2025-09-22T01:59:09.738+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.016s]
[2025-09-22T01:59:09.774+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.034s]
[2025-09-22T01:59:09.790+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.014s]
[2025-09-22T01:59:09.801+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.010s]
[2025-09-22T01:59:09.835+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.032s]
[2025-09-22T01:59:09.846+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.010s]
[2025-09-22T01:59:09.857+0000] {base.py:271} INFO - POST http://elasticsearch:9200/auto_sales_dataset/_doc [status:201 request:0.009s]
